,serial_number,case_name,case_number,judge_date,court_name,case_type,case_type_code,judge_type,judge
1542,113754,신용카드업법위반·사기·사문서위조·위조사문서행사,96도449,1996.05.31,대법원,형사,400102,판결,선고
1543,113694,특정범죄가중처벌등에관한법률위반(뇌물)·특정경제범죄가중처벌등에관한법률위반(증재등)·뇌물공여·특정경제범죄가중처벌등에관한법률위반(사기)·특정경제범죄가중처벌등에관한법률위반(횡령)·사기·업무상배임미수·부정수표단속법위반·주택건설촉진법위반·건축법위반·뇌물수수·근로기준법위반,96도481,1996.05.14,대법원,형사,400102,판결,선고
1544,113698,사기미수·사문서위조·위조사문서행사,96도785,1996.05.14,대법원,형사,400102,판결,선고
1545,113693,사기(인정된 죄명 횡령),96도410,1996.05.14,대법원,형사,400102,판결,선고
1546,223253,"야간주거침입절도,사문서위조(일부 변경된 죄명：공문서위조),위조사문서행사(일부 변경된 죄명：위조공문서행사),사기미수",96고단334,1996.05.11,대전지방법원,형사,400102,판결：항소,선고
1547,113690,특정경제범죄가중처벌등에관한법률위반(사기)·부정수표단속법위반·사문서위조·위조사문서행사,96도800,1996.05.10,대법원,형사,400102,판결,선고
1548,113614,부정수표단속법위반·위조유가증권행사·사기·무고,96도435,1996.04.26,대법원,형사,400102,판결,선고
1549,113609,변호사법위반·사기·횡령,95도1244,1996.04.26,대법원,형사,400102,판결,선고
1550,113475,사기(인정된 죄명 절도),95도2466,1996.04.09,대법원,형사,400102,판결,선고
1551,113470,사기,95도2025,1996.03.26,대법원,형사,400102,판결,선고
1552,113472,사기·문서손괴,95도3034,1996.03.26,대법원,형사,400102,판결,선고
1553,113337,사기,95도2828,1996.02.27,대법원,형사,400102,판결,선고
1554,113336,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반·특정범죄가중처벌등에관한법률위반(절도)·신용카드업법위반·사기,96도47,1996.02.23,대법원,형사,400102,판결,선고
1555,113257,사기,95도2121,1996.02.13,대법원,형사,400102,판결,선고
1556,113251,사기,95도2832,1996.02.09,대법원,형사,400102,판결,선고
1557,113171,사기,95도2437,1996.01.26,대법원,형사,400102,판결,선고
1558,113174,사기·폭력행위등처벌에관한법률위반·폭행·경범죄처벌법위반,95도2619,1996.01.26,대법원,형사,400102,판결,선고
1559,113164,사기·사문서위조·위조사문서행사·공정증서원본불실기재·불실기재공정증서원본행사,95도1333,1996.01.26,대법원,형사,400102,판결,선고
1560,223293,사기미수,95노7401,1996.01.25,서울지방법원,형사,400102,판결：상고기각,선고
1561,113106,사기,95도2656,1996.01.23,대법원,형사,400102,판결,선고
1562,113068,사기·횡령,95도2184,1995.12.26,대법원,형사,400102,판결,선고
1563,113062,업무상횡령·사기·사문서위조·위조사문서행사·변호사법위반·문서은닉,95도2446,1995.12.22,대법원,형사,400102,판결,선고
1564,113058,업무상배임·사기,94도3013,1995.12.22,대법원,형사,400102,판결,선고
1565,112973,상습사기·직업안정및고용촉진에관한법률위반·횡령·무고·근로기준법위반,94도3271,1995.12.12,대법원,형사,400102,판결,선고
1566,112972,사기,94도2253,1995.12.12,대법원,형사,400102,판결,선고
1567,112908,"특정경제범죄가중처벌등에관한법률위반(사기, 인정된죄명 상습사기)·부정수표단속법위반·폭력행위등처벌에관한법률위반(일부인정된죄명 상해)·상해",95도1836,1995.11.28,대법원,형사,400102,판결,선고
1568,112834,특정경제범죄가중처벌등에관한법률위반(배임)·사기미수·무고,94도1375,1995.11.21,대법원,형사,400102,판결,선고
1569,190054,"부정수표단속법위반,사기",95도1785,1995.11.10,대법원,형사,400102,판결,선고
1570,112602,사기(인정된죄명:배임수재),95도489,1995.09.29,대법원,형사,400102,판결,선고
1571,112608,"특정경제범죄가중처벌등에관한법률위반(사기),사문서위조,위조공문서행사,공정증서원본불실기재,불실기재공정증서원본행사,위증,위증교사,허위공문서작성,허위작성공문서행사,사기",95도1662,1995.09.29,대법원,형사,400102,판결,선고
1572,112610,"무고,사기,사문서위조,위조사문서행사,자격모용사문서작성,자격모용작성사문서행사",95도1726,1995.09.29,대법원,형사,400102,판결,선고
1573,112603,"특정경제범죄가중처벌등에관한법률위반(사기),허위유가증권작성,허위작성유가증권행사,사기",95도803,1995.09.29,대법원,형사,400102,판결,선고
1574,112601,"특정경제범죄가중처벌등에관한법률위반(사기),특정경제범죄가중처벌등에관한법률위반(횡령),사기,사문서위조,사문서위조행사",95도456,1995.09.29,대법원,형사,400102,판결,선고
1575,112500,"사기,횡령",95도707,1995.09.15,대법원,형사,400102,판결,선고
1576,112493,"특정경제범죄가중처벌등에관한법률위반(사기),사기,사기미수,변호사법위반",94도940,1995.09.15,대법원,형사,400102,판결,선고
1577,112497,"사기,사문서위조,사문서위조행사,무고",94도3213,1995.09.15,대법원,형사,400102,판결,선고
1578,112405,사기,94도2132,1995.08.25,대법원,형사,400102,판결,선고
1579,112401,사기,95도594,1995.08.22,대법원,형사,400102,판결,선고
1580,112328,사기,95도1157,1995.07.28,대법원,형사,400102,판결,선고
